Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 2, nFeatures = 7000

feature |          frame
        |                   0                   1
--------+-----------------------------------------
    235 | (809.0,723.0)= 1192 ( -1.0, -1.0)=   -5 
    236 | (962.0,410.0)= 1191 (958.4,409.4)=    0 
    237 | (146.0, 40.0)= 1185 (141.5, 42.3)=    0 
    238 | (900.0,1004.0)= 1184 (891.5,999.4)=    0 
    239 | (511.0,761.0)= 1178 (497.7,767.7)=    0 
    240 | (931.0,747.0)= 1178 ( -1.0, -1.0)=   -5 
    241 | (883.0,740.0)= 1177 (883.0,742.8)=    0 
    242 | (801.0,976.0)= 1176 (802.5,981.6)=    0 
    243 | (778.0,991.0)= 1171 (777.2,989.5)=    0 
    244 | (102.0,713.0)= 1171 ( -1.0, -1.0)=   -5 
    245 | (955.0,750.0)= 1167 ( -1.0, -1.0)=   -5 
    246 | (993.0,278.0)= 1164 (989.0,273.6)=    0 
    247 | ( 72.0,369.0)= 1162 ( 70.8,377.6)=    0 
    248 | (150.0,814.0)= 1160 ( -1.0, -1.0)=   -5 
    249 | (953.0,387.0)= 1157 (944.7,390.9)=    0 
    250 | (464.0,338.0)= 1156 (479.7,328.5)=    0 
    251 | (426.0,424.0)= 1148 ( -1.0, -1.0)=   -3 
    252 | (982.0,454.0)= 1148 ( -1.0, -1.0)=   -3 
    253 | (521.0,450.0)= 1145 ( -1.0, -1.0)=   -3 
    254 | (959.0,923.0)= 1143 (953.4,915.1)=    0 
    255 | (607.0,824.0)= 1142 ( -1.0, -1.0)=   -5 
    256 | (936.0,683.0)= 1139 ( -1.0, -1.0)=   -5 
    257 | (581.0,193.0)= 1138 ( -1.0, -1.0)=   -3 
    258 | (113.0,614.0)= 1137 ( -1.0, -1.0)=   -5 
    259 | (615.0,897.0)= 1136 ( -1.0, -1.0)=   -5 
    260 | (775.0,555.0)= 1133 (765.4,561.4)=    0 
    261 | (314.0,904.0)= 1124 ( -1.0, -1.0)=   -5 
    262 | ( 60.0,596.0)= 1121 ( 52.5,597.6)=    0 
    263 | (835.0, 20.0)= 1121 ( -1.0, -1.0)=   -5 
    264 | (690.0,987.0)= 1121 (695.1,987.0)=    0 
    265 | (988.0,281.0)= 1120 (976.8,290.2)=    0 
    266 | (545.0,627.0)= 1120 (536.0,625.1)=    0 
    267 | (891.0,559.0)= 1115 ( -1.0, -1.0)=   -5 
    268 | ( 57.0,747.0)= 1114 ( 54.9,748.9)=    0 
    269 | (474.0,284.0)= 1113 ( -1.0, -1.0)=   -5 
